User ID,Gender,Age,EstimatedSalary,Purchased
75682867,Male,26,47591,0
66755036,Male,55,108583,0
66882282,Male,39,115318,1
31081788,Female,19,24833,1
23315092,Female,41,22896,1
45788921,Male,25,47972,0
36735830,Male,28,64733,1
41632483,Female,30,56800,0
86737383,Male,34,111044,1
98358551,Female,25,20347,0
98409749,Male,38,74063,1
14981505,Male,35,110850,0
23953367,Male,47,17643,1
95652971,Male,35,55785,0
14521373,Male,48,33681,0
13344769,Male,55,65026,0
86893497,Male,49,118864,0
40349564,Female,28,30892,0
52860080,Female,42,62299,0
87751354,Female,50,32073,0
72250665,Female,55,117304,1
76209791,Female,58,45682,1
56792155,Male,25,112798,1
31498555,Male,28,111894,1
70221198,Female,39,29289,1
89757501,Male,41,22927,0
26861870,Female,58,63330,0
62286002,Female,34,81707,0
42049003,Male,29,92454,0
71136438,Male,49,119646,0
72194931,Male,32,80428,1
75285250,Female,33,65601,1
79537252,Male,39,92465,1
69248434,Female,45,17539,1
71306900,Female,37,117263,0
65831368,Female,50,37669,0
20959014,Male,27,85968,0
66972561,Male,57,35644,1
58900483,Female,49,33745,0
30193880,Male,50,43228,1
13385357,Male,19,49521,0
54738553,Male,50,112239,0
78574553,Female,50,41928,1
26845364,Female,58,33322,0
62157313,Male,30,72714,0
21392366,Female,47,102896,1
79778859,Male,50,77292,0
98883975,Male,30,44055,1
23479854,Male,43,57891,0
83506850,Male,39,96912,0
23187277,Female,56,21588,0
78979792,Female,19,105536,0
47709731,Female,55,21304,0
36939239,Male,56,22345,0
33027075,Male,43,44300,0
91200125,Male,32,39259,0
96191493,Female,51,106006,1
97796277,Male,59,103553,1
76401385,Female,57,30352,0
32335235,Female,28,48365,0
10271836,Female,20,34446,1
13584702,Female,23,17336,0
62631083,Female,26,77032,0
18585377,Female,23,90415,1
96544585,Male,26,112852,0
95157821,Male,56,113876,0
97655395,Female,48,22521,1
27824013,Female,49,86707,0
46601694,Male,58,38481,0
77105583,Female,29,33474,1
70304654,Female,25,61760,0
44119117,Male,25,70718,1
46433622,Female,45,59629,0
99482491,Female,37,60232,0
70031992,Female,24,101544,1
65105831,Male,28,82169,1
13366612,Male,37,65669,0
68743503,Male,33,93021,1
46258670,Female,21,84184,1
79739572,Female,23,62945,0
65848857,Male,39,28140,0
67055419,Female,43,98457,0
59160571,Female,20,29357,1
78394024,Female,58,83673,1
74525468,Female,59,80633,1
99966606,Female,31,91943,1
48727468,Male,28,111111,0
61757120,Female,35,93258,1
77157848,Male,29,27924,0
87897542,Female,40,84286,1
83665032,Male,29,108269,0
95390464,Female,30,89071,0
58170987,Male,42,72326,0
62562567,Female,36,105023,1
33717335,Male,53,45651,0
70472382,Female,25,85202,0
22719242,Male,46,63777,1
58715250,Female,49,31994,0
93139152,Male,35,82263,1
54054178,Male,23,74634,1
48334882,Female,35,115158,0
62441466,Female,36,25800,0
59583876,Male,39,52823,1
96117865,Female,54,78878,0
73203558,Male,49,33708,1
47407771,Male,58,27819,1
93122310,Male,20,89905,1
37009224,Female,45,78870,0
61327755,Male,27,24283,1
89018913,Male,52,45573,0
17130144,Female,46,93707,0
14545583,Female,32,45933,0
64079037,Female,50,20774,0
64474455,Female,24,87055,1
51542436,Male,29,25983,0
56626914,Male,47,111468,1
63933927,Male,38,111334,1
62453338,Male,48,33133,0
24881728,Female,41,29939,1
44045666,Male,37,15781,1
22722094,Male,54,71700,0
32178434,Female,21,42624,1
56321408,Male,45,21823,1
22796932,Male,37,33489,1
84023414,Male,41,54961,1
36063245,Male,49,44118,0
49443226,Male,58,115417,1
83619289,Male,53,96816,1
17887739,Female,51,37263,1
70736972,Female,53,28565,1
71071026,Male,19,35354,0
10769598,Male,32,57951,1
99178975,Female,51,106179,0
59007334,Male,53,38648,1
38433648,Male,23,65729,0
17971379,Male,56,56971,0
13331068,Female,59,33658,0
46810847,Male,29,36253,0
44428803,Female,20,79166,0
15654237,Male,35,63563,1
71553124,Female,57,41390,1
55816038,Female,38,103664,1
27750764,Male,32,66578,0
46898446,Female,50,94025,1
33841962,Male,52,118850,0
76834972,Female,43,47658,0
53156515,Male,25,21852,1
32993420,Male,53,109986,1
72190751,Female,47,17551,0
31970758,Male,40,86947,0
46513466,Male,59,76001,1
41288562,Female,31,64159,1
31351509,Male,31,66707,1
33484187,Male,19,48243,1
71777469,Female,54,36800,0
46093880,Female,22,90939,1
60441204,Male,55,72828,1
91752859,Male,58,22239,1
54066131,Female,31,21710,0
85415325,Female,56,36384,0
45563453,Male,42,36038,0
44755914,Female,37,55846,0
60873983,Male,19,102983,1
63892568,Male,56,82821,0
33637222,Male,23,52991,1
12484413,Male,34,94057,1
80016224,Male,42,21971,1
49449976,Female,45,44139,1
99583549,Female,19,100445,0
12235000,Female,52,92067,0
33685747,Female,54,95257,0
47876684,Male,22,99742,1
82931048,Male,18,52711,1
39859174,Male,57,21530,1
46102853,Male,29,26116,1
56159303,Female,53,80794,1
22195226,Male,40,15282,0
57936136,Male,48,94473,1
79062973,Female,28,16898,0
24421668,Female,27,19135,1
31200096,Female,20,21629,1
93375337,Female,31,100120,0
33234510,Male,33,104087,0
61715898,Male,27,80031,1
55968757,Female,46,48380,1
10061087,Male,27,32071,1
90705119,Male,29,35074,1
76653416,Male,47,105724,0
95382256,Female,58,82843,1
20274621,Male,18,54901,0
23022704,Female,22,26205,1
26816569,Male,37,70661,0
17654909,Male,25,20906,0
47814054,Male,29,17591,1
94302960,Female,18,77987,0
25421040,Male,37,78370,1
34210512,Female,45,95685,0
82073914,Female,54,69400,1
77922032,Female,54,40150,0
43779713,Male,29,46852,1
21506305,Male,54,57870,1
30560091,Male,45,67756,0
96881845,Male,32,71481,0
17734102,Female,23,16283,0
15674719,Female,37,48691,0
18658144,Female,31,16125,1
50163712,Male,19,82065,0
99386386,Female,26,41170,1
95447809,Male,54,23438,0
98917675,Female,37,35095,1
54165849,Male,43,31154,1
82586911,Male,46,23004,1
78227907,Female,18,24752,1
88826934,Female,52,70426,0
59905866,Female,23,41819,0
91121402,Female,54,117168,1
50657662,Male,22,107051,0
16659908,Female,50,39217,0
41378291,Female,31,103708,1
73020641,Female,29,47994,0
46634821,Male,59,30036,0
29433354,Male,37,92275,0
26887294,Female,41,112756,1
83422991,Male,51,64416,0
45562619,Female,42,24587,1
45213498,Male,46,110665,0
45703247,Male,56,15645,0
